"filename", "language", "JSON", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Markdown", "CSS", "HTML", "TypeScript JSX", "JavaScript JSX", "CMake", "C++", "XML", "comment", "blank", "total"
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\img\erb-banner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\img\palette-sponsor-banner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\mocks\fileMock.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\check-build-exists.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\check-native-dep.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 55
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\check-node-env.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\check-port-in-use.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\clean.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 30
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\delete-source-maps.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\electron-rebuild.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\link-modules.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\scripts\notarize.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.eslintrc.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 38
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\FUNDING.yml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\ISSUE_TEMPLATE\1-Bug_report.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 23, 68
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\ISSUE_TEMPLATE\2-Question.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 9, 4, 20
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\ISSUE_TEMPLATE\3-Feature_request.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 9, 2, 16
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\config.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\stale.yml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 18
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 12, 72
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.github\workflows\publish.yml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 48
